8.0,5.0,3.34,5.94,2.31,158.1,9
12.0,11.0,2.18,6.42,1.49,376.65,9
10.0,3.0,2.93,5.4,1.73,567.1,9
12.0,15.0,2.62,5.83,1.57,251.8,9
8.0,7.0,3.9,7.0,2.32,1297.0,10
100.0,12.0,0.24,5.79,0.15,235.3,6
100.0,6.0,0.25,6.02,0.15,350.8,6
100.0,5.0,0.25,5.88,0.15,0.0,6
100.0,7.0,0.25,5.93,0.15,212.1,0
100.0,8.0,0.25,6.03,0.15,209.7,3
50.0,13.0,0.57,5.88,0.32,63.5,1
50.0,4.0,0.57,6.36,0.32,669.8,9
50.0,6.0,0.56,6.3,0.32,256.4,5
50.0,9.0,0.55,5.85,0.32,15.1,0
50.0,3.0,0.55,6.21,0.32,558.69,9
20.0,2.0,1.51,6.6,0.89,431.1,11
20.0,14.0,1.51,5.55,0.9,101.1,9
20.0,11.0,1.4,6.35,0.87,175.25,6
20.0,3.0,1.46,6.15,0.89,457.7,9
20.0,9.0,1.39,5.7,0.89,185.0,9
6.0,13.0,5.52,6.33,3.43,244.75,3
6.0,9.0,4.68,5.83,3.15,259.8,3
4.0,6.0,6.85,7.38,4.75,820.4,10
4.0,7.0,8.5,5.12,4.93,213.4,10
4.0,14.0,7.3,7.38,5.26,337.3,7
15.0,6.0,2.15,5.23,1.19,170.3,6
15.0,12.0,1.85,5.63,1.23,193.8,6
15.0,13.0,1.85,5.4,1.22,83.8,3
15.0,15.0,1.79,6.53,1.19,359.0,6
15.0,3.0,1.92,5.6,1.25,20.6,9
